Intent Name,Training Phrases (English),Training Phrases (Spanish),Training Phrases (Spanish) - Updated
ides.file_online,What is the process for filing a claim?,¿Cuál es el proceso para presentar una reclamación?,¿Cuál es el proceso para presentar una solicitud?
ides.file_online,How do I start my unemployment claim?,¿Cómo inicio mi reclamación de desempleo?,¿Cómo inicio mi solicitud de desempleo?
ides.file_online,How can I begin receiving unemployment?,¿Cómo puedo empezar a recibir el desempleo?,¿Cómo puedo empezar a recibir los beneficios del seguro de desempleo?
ides.file_online,Where do I go on the internet to file my claim?,¿Dónde puedo ir en el Internet para presentar mi reclamo?,¿Qué sitio de Internet debo acceder para presentar mi solicitud?
ides.file_online,Could you guide me as to how to make an online claim?,¿Me podría orientar para saber cómo presentar una reclamación en línea?,¿Me podría orientar sobre cómo presentar una solicitud en línea?
ides.file_online,Where do I make an insuance claim about unemployment?,¿Dónde puedo hacer una reclamación insuance por el desempleo?,¿Dónde haga la solicitud de seguro de desempleo?
ides.file_online,How can I apply for the claim online?,¿Cómo puedo solicitar el reclamo en línea?,¿Cómo puedo hacer la solicitud en línea?
ides.file_online,Where can one file a UI claim online?,¿Dónde se puede presentar una solicitud en línea de interfaz de usuario?,¿Dónde puede presentar una solicitud en línea del seguro de desempleo?
ides.file_online,Tell me how to file a claim,Dime cómo presentar una reclamación,Díganme cómo presentar una solicitud.
ides.file_online,Could you redirect me to the place I can make an online claim,¿Me puede redirigir al lugar que se puede hacer una reclamación en línea,¿Me pueden redirigir al sitio para hacer una solicitud en línea?
ides.file_online,Where should I go to make an insurance claim?,¿Dónde debo ir a hacer una reclamación de seguro?,¿A dónde debo ir para solicitar un seguro?
ides.file_online,What do I need to do if I have to make a claim?,¿Qué tengo que hacer si tengo que hacer una reclamación?,¿Qué tengo que hacer para presentar una solicitud?
ides.file_online,Is there some means of making an online claim?,¿Hay alguna forma de hacer una reclamación en línea?,¿Hay alguna forma de presentar una solicitud en línea?
ides.file_online,What is the correct procedure for making an online claim?,¿Cuál es el procedimiento correcto para hacer una reclamación en línea?,¿Cuál es el procedimiento correcto para hacer una solicitud en línea?
ides.file_online,How can I go about making a claim?,¿Cómo puedo ir sobre cómo hacer una reclamación?,¿Qué debo hacer para presentar una solicitud?
ides.file_online,How can I file online?,¿Cómo puedo presentar en línea?,¿Cómo puedo presentar una solicitud en línea?
ides.file_online,Where can I find a link to file an unemployment insurance claim?,¿Dónde puedo encontrar un enlace a presentar una reclamación de seguro de desempleo?,¿Dónde puedo encontrar un enlace para presentar una solicitud de seguro de desempleo?
ides.file_online,what is the link for filing an unemployment insuance claim?,¿cuál es el vínculo para presentar una reclamación de insuance desempleo?,¿Cuál es el enlace para presentar una solicitud de seguro de desempleo?
ides.file_online,File claim online,reclamo de archivos en línea,Presentar una solicitud en línea
ides.file_online,I want to file online,Quiero archivos en línea,Quiero presentar una solicitud en línea
ides.file_online,where can I file an unemployment insurance claim?,donde puedo presentar una reclamación de seguro de desempleo?,¿Dónde puedo presentar una solicitud de seguro de desempleo?
ides.file_online,link were we can file our unemployment insuance claim?,enlace eran podemos presentar nuestro reclamo insuance desempleo?,¿Un enlace para presentar una solicitud de seguro de desempleo?
ides.file_online,What is the procedure for filing a claim?,¿Cuál es el procedimiento para presentar una reclamación?,¿Cuál es el procedimiento para hacer una solicitud?
ides.UI_benefits_Covid19,Am I eligible for Unemployment due to COVID-19?,Soy elegible para el desempleo debido a COVID-19?,¿Soy elegible para obtener el seguro de desempleo por la COVID-19?
